assessid,assessorid,stockid,stocklong,recorder,daterecorded,dateloaded,assessyear,assesssource,contacts,notes,pdffile,assess,refpoints,assessmethod,assesscomments,xlsfilename,mostrecent
MARAM-CRLOBSTERSA56-1910-2012-Johnston,MARAM,CRLOBSTERSA56,West coast rock lobster South Africa Areas 5-6,Johnston,12/19/2013,12/31/2001,1910-2012,http://www.math.uct.ac.za/maram/pub/2013/FISHERIES_2013_AUG_WCRL_24.pdf,Susan Holloway (susan.holloway@uct.ac.za),NULL,FISHERIES_2013_AUG_WCRL_24.PDF,1,1,SSPDM,NULL,/home/srdbadmin/srdb/spreadsheets/Johnston-CRLOBSTERSA56-2013-DH-edited.xls,999
MARAM-CRLOBSTERSA7-1910-2012-Johnston,MARAM,CRLOBSTERSA7,West coast rock lobster South Africa Area 7,Johnston,12/19/2013,12/31/2001,1910-2012,http://www.math.uct.ac.za/maram/pub/2013/FISHERIES_2013_AUG_WCRL_24.pdf,Susan Holloway (susan.holloway@uct.ac.za),NULL,FISHERIES_2013_AUG_WCRL_24.PDF,1,1,SSPDM,NULL,/home/srdbadmin/srdb/spreadsheets/Johnston-CRLOBSTERSA7-2013-DH-edited.xls,999
MARAM-CRLOBSTERSA8-1910-2012-Johnston,MARAM,CRLOBSTERSA8,West coast rock lobster South Africa Area 8,Johnston,12/19/2013,12/31/2001,1910-2012,http://www.math.uct.ac.za/maram/pub/2013/FISHERIES_2013_AUG_WCRL_24.pdf,Susan Holloway (susan.holloway@uct.ac.za),NULL,FISHERIES_2013_AUG_WCRL_24.PDF,1,1,SSPDM,NULL,/home/srdbadmin/srdb/spreadsheets/Johnston-CRLOBSTERSA8-2013-DH-edited.xls,999
FAO-DRSS-CROAKSPPWASG1-1994-2007-CHING,FAO-DRSS,CROAKSPPWASG1,Croaker West Africa Subgroup 1,CHING,1/22/2014,1/1/2002,1994-2007,NULL,NULL,NULL,FAO West African Demersal Stocks.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CROAKSPPWASG1-2007-DH-edited.xls,999
FAO-DRSS-CROAKSPPWASG2-1990-2006-CHING,FAO-DRSS,CROAKSPPWASG2,Croaker West Africa Subgroup 2,CHING,1/22/2014,1/1/2002,1990-2006,NULL,NULL,"CPUE-kg/day is trawlers, CPUE-kg/trip is artisanal",FAO West African Demersal Stocks.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CROAKSPPWASG2-2006-DH-edited.xls,999
FAO-DRSS-CROAKSPPWASG3-1990-2007-CHING,FAO-DRSS,CROAKSPPWASG3,Croaker West Africa Subgroup 3,CHING,1/22/2014,1/1/2002,1990-2007,NULL,NULL,"CPUE-kg/day is trawlers, CPUE-kg/trip is artisanal",FAO West African Demersal Stocks.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CROAKSPPWASG3-2007-DH-edited.xls,999
NWFSC-CROCKPCOAST-1916-2011-STACHURA,NWFSC,CROCKPCOAST,Canary rockfish Pacific Coast,STACHURA,12/21/2011,8/11/2012,1916-2011,"obtained from assessment author, not yet available on PFMC website","John Wallace, John.Wallace@noaa.gov","obtained from assessment author, not yet available on PFMC website",NWFSC-CROCKPCOAST-2011.pdf,1,1,SS3,,/home/srdbadmin/srdb/spreadsheets/NWFSC-CROCKPCOAST-2011-DH-edited.xls,999
DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,DFO,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,STANTON,3/31/2010,8/7/2012,1945-2009,NULL,Paul Starr (paul@starrfish.net),,,1,1,SCA,"These outputs are from Run 11-u, selected as the preferred ""basecase"" from the three runs presented to DFO PSARC meeting in December 2009.  This run was updated from Run-11, presented to PSARC in November 2007.  All model values, except for catch (which i",/home/srdbadmin/srdb/spreadsheets/STANTON-CanaryRf-BC-DH-edited.xls,999
FAO-DRSS-CSHRIMPWA-1990-2007-CHING,FAO-DRSS,CSHRIMPWA,Coastal Shrimp West Africa,CHING,1/22/2014,1/1/2002,1990-2007,NULL,NULL,"CPUE-kg/day is trawlers, CPUE-kg/trip is artisanal",FAO West African Demersal Stocks.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CSHRIMPWA-2007-DH-edited.xls,999
NEFSC-CSKATMATLC-1975-2005-SOSEBEE,NEFSC,CSKATMATLC,Clearnose skate Mid-Atlantic Coast,SOSEBEE,4/21/2009,8/1/2012,1975-2005,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0710/,,,,0,0,Survey indices,,../spreadsheets/SOSBEE-CLEARNOSESKATE-2007-editedDR.xls,999
MARAM-CTRACSA-1949-2013-Furman,MARAM,CTRACSA,Cape horse mackerel South Africa South coast,Furman,1/20/2014,12/31/2001,1949-2013,http://www.mth.uct.ac.za/maram/pub/2012/FISHERIES_2012_OCT_SWG-DEM_23_Horse_mackerel_juvenile_PUCL.pdf,Liam Furman (liam.furman@gmail.com),NULL,FISHERIES_2012_OCT_SWG-DEM_23_Horse_mackerel_juvenile_PUCL.pdf,1,1,ASPM,NULL,/home/srdbadmin/srdb/spreadsheets/Furman-CTRACSA-2014-DH-edited.xls,999
DFO-MAR-CUSK4X-1970-2007-RICARD,DFO-MAR,CUSK4X,Cusk NAFO 4X,RICARD,3/1/2011,8/1/2012,1970-2007,URL,tdavies@matshat.dal.ca,from CJFAS paper,,1,1,BSPM,timeseries obtained from Trevor Davies,../spreadsheets/RICARD-CUSK-4X-2011.xls,999
FAO-DRSS-CUTTLEWA-1990-2007-CHING,FAO-DRSS,CUTTLEWA,Cuttlefish West Africa,CHING,1/22/2014,1/1/2002,1990-2007,NULL,NULL,NULL,FAO West African Demersal Stocks.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-CUTTLEWA-2007-DH-edited.xls,999
MARAM-DEEPCHAKESA-1917-2013-Rademeyer,MARAM,DEEPCHAKESA,Deep-water cape hake South Africa,Rademeyer,1/14/2014,12/31/2001,1917-2013,http://www.math.uct.ac.za/maram/workshop/2013/MARAM_IWS_DEC13_Hake_P2.pdf,Rebecca Rademeyer (rebeccarademeyer@gmail.com),The two hake species (M. paradoxus and M. capensis) are treated as two species but assessed within a single assessment as some of the data can not be disaggregated by species.,MARAM_IWS_DEC13_Hake_P2.pdf,1,1,unknown,NULL,/home/srdbadmin/srdb/spreadsheets/Rademeyer-DEEPCHAKESA-2013-DH-edited.xls,999
CSIRO-DEEPFLATHEADSE-1978-2007-FULTON,CSIRO,DEEPFLATHEADSE,Deepwater flathead Southeast Australia,FULTON,4/30/2008,8/1/2012,1978-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-deepwater_flathead-australia-2007_v2-editedDR-QAQC.xls,999
NWFSC-DKROCKPCOAST-1928-2011-STACHURA,NWFSC,DKROCKPCOAST,Darkblotched rockfish Pacific Coast,STACHURA,12/22/2011,8/11/2012,1928-2011,"obtained from assessment author, not yet publicly available on the PFMC website","Andi Stephens, andi.stephens@noaa.gov",NULL,NWFSC-DKROCKPCOAST-2011,1,1,SS3,"The 2010 landings value  was not used in the assessment, the value used was taken from the Pacific Fishery Management Council Groundfish  Management Team 2010 in-season",/home/srdbadmin/srdb/spreadsheets/NWFSC-DKROCKPCOAST-2011-DH-edited.xls,999
FAO-DRSS-DRSHRIMPWA-1990-2007-CHING,FAO-DRSS,DRSHRIMPWA,Deepwater Rose Shrimp West Africa,CHING,1/22/2014,1/1/2002,1990-2007,NULL,NULL,"CPUE-kg/day is Guinea-Bissau, Guinea, Sierra Leone, Congo and Angola. CPUE-kg/hour is Liberia and Angola.",FAO West African Demersal Stocks.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-DRSHRIMPWA-2007-DH-edited.xls,999
AFSC-DSOLEGA-1978-2009-STACHURA,AFSC,DSOLEGA,Dover sole Gulf of Alaska,STACHURA,3/29/2011,8/28/2012,1978-2009,http://www.afsc.noaa.gov/REFM/docs/2009/GOAdeepflat.pdf,"William Stockhausen, william.stockhausen@noaa.gov",NULL,,1,1,AD-CAM,2010 assessment was only an update. full assessment conducted in 2009. filename: AFSC-DSOLEGA-2009.pdf,/home/srdbadmin/srdb/spreadsheets/STACHURA-DSOLEGA-2010-DH-edited.xls,999
SWFSC-DSOLEPCOAST-1910-2011-STACHURA,SWFSC,DSOLEPCOAST,Dover sole Pacific Coast,STACHURA,12/22/2011,8/28/2012,1910-2011,"not yet available on the PFMC website, obtained from the assessment author","Allan Hicks,",There seem to be major changes in the time series (except catch) from the last assessment in 2005,SWFSC-DSOLEPCOAST-2011.pdf,1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/SWFSC-DSOLEPCOAST-2011-DH-edited.xls,999
AFSC-DUSROCKGA-1973-2010-STACHURA,AFSC,DUSROCKGA,Dusky rockfish Gulf of Alaska,STACHURA,5/5/2010,8/28/2012,1973-2010,http://www.afsc.noaa.gov/REFM/docs/2010/GOApelshelf.pdf,Chris Lunsford (chris.lunsford@noaa.gov),NULL,,1,1,AD-CAM,"(1) 2010 assessment was only an update. full assessment conducted in 2009. filename: AFSC-DUSROCKGA-2009.pdf; (2) R and TB time series obtained from the assessment author, Kalei Shotwell",/home/srdbadmin/srdb/spreadsheets/STACHURA-DUSROCKGA-2010-DH-edited.xls,999
DFO-PAC-ESOLEHS-1944-2001-COLLIE,DFO-PAC,ESOLEHS,English sole Hecate Strait,COLLIE,4/21/2008,8/1/2012,1944-2001,received from Contact,"Jeff Fargo, Pacific Biological Station <Jeff.Fargo@dfo-mpo.gc.ca>",this is a test entry only,Flat99.pdf,1,1,TSA,no comments,../spreadsheets/COLLIE-ESOLEHSTR-2001-editedDR-QAQC.xls,
NWFSC-ESOLEPCOAST-1876-2007-BRANCH,NWFSC,ESOLEPCOAST,English sole Pacific Coast,BRANCH,11/18/2008,8/1/2012,1876-2007,http://www.pcouncil.org/groundfish/gfsafe1008/2007_English_sole_update_council.pdf,Ian Stewart Ian.Stewart@noaa.gov,,,1,1,SS2,,../spreadsheets/BRANCH-ESOLEPCOAST-2007-editedDR-QAQC.xls,999
AFSC-FLSOLEBSAI-1974-2010-STACHURA,AFSC,FLSOLEBSAI,Flathead sole Bering Sea and Aleutian Islands,STACHURA,7/7/2011,8/15/2012,1974-2010,http://www.afsc.noaa.gov/REFM/docs/2010/BSAIflathead.pdf,"William Stockhausen, william.stockhausen@noaa.gov",,,1,1,AD-CAM,no comments,/home/srdbadmin/srdb/spreadsheets/STACHURA-FLSOLEEBSAI-2010-DH-edited.xls,999
AFSC-FLSOLEGA-1978-2010-STACHURA,AFSC,FLSOLEGA,Flathead sole Gulf of Alaska,STACHURA,3/29/2011,1/11/2013,1978-2010,http://www.afsc.noaa.gov/REFM/docs/2010/GOAflathead.pdf,"William Stockhausen, william.stockhausen@noaa.gov",,,1,1,AD-CAM,2010 assessment is just an update of the 2009 assessment: AFSC-FLSOLEGA-2009.pdf,/home/srdbadmin/srdb/spreadsheets/STACHURA-FLSOLEGA-2010-DH-edited.xls,999
WGHMM-FMEG8c9a-1986-2010-NEUBAUER,WGHMM,FMEG8c9a,Fourspotted megrim ICES VIIIc-IXa,NEUBAUER,7/4/2011,12/12/2012,1986-2010,http://www.ices.dk/reports/ACOM/2011/WGHMM/Sec%2009%20-%20Megrims%20in%20Divisions%20VIIIc%20and%20IXa.pdf,NULL,NULL,,1,1,XSA,,/home/srdbadmin/srdb/spreadsheets/NEUBAUER-FMEG8c9a-2011-DH-edited.xls,999
FAO-SPNWA-FSCADWA-1990-2010-CHING,FAO-SPNWA,FSCADWA,False Scad West Africa,CHING,10/22/2013,1/1/2002,1990-2010,NULL,NULL,NULL,FAO West African Pelagics North 2011.pdf,1,1,Unknown,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-FSCADWA-2010-DH-edited.xls,999
SEFSC-FTOOTHSHARATL-1976-2005-FAUCONNET,SEFSC,FTOOTHSHARATL,Finetooth shark Atlantic,FAUCONNET,5/7/2009,8/1/2012,1976-2005,http://www.sefsc.noaa.gov/sedar/,,,,1,1,BBM,Bayesian Surplus Production Model,../spreadsheets/FAUCONNET-FTOOTHSHARATL-2007-editedDR.xls,999
SEFSC-GAGGM-1963-2012-HIVELY,SEFSC,GAGGM,Gag Gulf of Mexico,HIVELY,12/18/2014,12/31/2001,1963-2012,http://www.sefsc.noaa.gov/sedar/download/SEDAR%2033%20SAR-%20Gag%20Stock%20Assessment%20Report%20FINAL_sizereduced.pdf?id=DOCUMENT,NULL,NULL,GAGGM-2014,1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/HIVELY-GAGGM-2012-DH-edited.xls,999
SEFSC-GAGSATLC-1962-2005-JENSEN,SEFSC,GAGSATLC,Gag Southern Atlantic coast,JENSEN,11/19/2008,8/1/2012,1962-2005,http://www.sefsc.noaa.gov/sedar/download/S10_SAR1_SA_Gag_updated_ALL.pdf?id=DOCUMENT,,from Fogarty database,,1,1,AD-CAM,SEDAR 10: Atlantic gag (base run with constant catchability - see Tables 24 and 34),../spreadsheets/JENSEN-GAGSATLC-2006-editedDR-QAQC.xls,999
NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN,NZMFishMIDDEPTHSWG,GEMFISHNZ,common gemfish New Zealand,JENSEN,3/11/2009,8/1/2012,1952-2007,received from contact,Patrick Cordue - patrick.cordue@isl-solutions.co.nz,average of three model runs - no best or base model available,,1,1,CASAL,,../spreadsheets/JENSEN-GEMFISHNZ-2007-v2-editedDR.xls,999
CSIRO-GEMFISHSE-1966-2007-FULTON,CSIRO,GEMFISHSE,common gemfish Southeast Australia,FULTON,4/30/2008,8/1/2012,1966-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-gemfish-australia-2007_v2-editedDR-QAQC.xls,999
FAO-DRSS-GGRUNTWASG1-1994-2007-CHING,FAO-DRSS,GGRUNTWASG1,Grey Grunt West Africa Subgroup 1,CHING,1/22/2014,1/1/2002,1994-2007,NULL,NULL,NULL,FAO West African Demersal Stocks.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-GGRUNTWASG1-2007-DH-edited.xls,999
FAO-DRSS-GGRUNTWASG3-1995-2007-CHING,FAO-DRSS,GGRUNTWASG3,Grey Grunt West Africa Subgroup 3,CHING,1/22/2014,1/1/2002,1995-2007,NULL,NULL,"CPUE-kg/day is trawlers, CPUE-kg/trip is artisanal",FAO West African Demersal Stocks.pdf,1,1,DPM,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-GGRUNTWASG3-2007-DH-edited.xls,999
NAFO-SC-GHAL01ABCDEF-1987-2006-PREFONTAINE,NAFO-SC,GHAL01ABCDEF,Greenland halibut NAFO 01ABCDEF,PREFONTAINE,2/13/2008,8/1/2012,1987-2006,http://www.nafo.int/publications/frames/general.html,contact details,"There are two columns for total catch in timseries; the catches were divided by subdivision; TC-1 are the catches for subdivision 0 while TC-2 are for subdivision1. CPUE is the standardized least squares mean of CPUE for trawlers in areas 0B and 1CD, a GM",,0,1,Survey indices,,../spreadsheets/PREFONTAINE-GHAL01ABCDEF-2007-editedDR-QAQC.xls,999
NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE,NAFO-SC,GHAL23KLMNO,Greenland halibut NAFO 23KLMNO,PREFONTAINE,7/2/2008,8/1/2012,1960-2006,http://www.nafo.int/publications/frames/science.html,,,,1,1,XSA,15 year rebuilding plan implemented in 2004,../spreadsheets/PREFONTAINE-GHAL23KLMNO-2007-editedDR-QAQCjb.xls,999
DFO-QUE-GHAL4RST-1970-2002-PREFONTAINE,DFO-QUE,GHAL4RST,Greenland halibut NAFO 4RST,PREFONTAINE,7/3/2008,8/1/2012,1970-2002,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,"Brigitte Bernier, Brigitte.Bernier@dfo-mpo.gc.ca",In the assessment separate values can be found for length at 50% maturity for females and for males; the former are represented by 1 and the latter by 2 in the various biometric values. Catch per unit effort was provided by Brigitte Bernier and taken from,,0,0,Unknown,no comments,../spreadsheets/PREFONTAINE-GHAL4RST-2003-editedDR.xls,999
AFSC-GHALBSAI-1960-2009-STANTON,AFSC,GHALBSAI,Greenland turbot Bering Sea and Aleutian Islands,STANTON,4/7/2009,8/1/2012,1960-2009,http://www.afsc.noaa.gov/refm/Stocks/assessments.htm,contact details,,,1,1,AD-CAM,no comments,../spreadsheets/STANTON-GHALBSAI-2008-editedDR-QAQC.xls,999
AFWG-GHALNEAR-1960-2010-NEUBAUER,AFWG,GHALNEAR,Greenland halibut Northeast Arctic,NEUBAUER,7/13/2011,12/12/2012,1960-2010,http://www.ices.dk/reports/ACOM/2011/AFWG/Sec%2008%20Greenland%20Halibut%20in%20Subareas%20I%20and%20II.pdf,NULL,NULL,,1,0,XSA,The assessment is still considered to be uncertain due to the age-reading and input data quality problems,/home/srdbadmin/srdb/spreadsheets/NEUBAUER-GHALNEAR-2011-DH-edited.xls,999
AFWG-GOLDREDNEAR-1983-2010-NEUBAUER,AFWG,GOLDREDNEAR,Golden Redfish Northeast Arctic,NEUBAUER,7/13/2011,1/2/2013,1983-2010,http://www.ices.dk/reports/ACOM/2011/AFWG/Sec%2007%20Golden%20Redfish%20in%20Subareas%20I%20and%20II.pdf,NULL,NULL,,1,0,GADGET,,/home/srdbadmin/srdb/spreadsheets/NEUBAUER-GOLDREDNEAR-2011-DH-edited.xls,999
SWFSC-GOPHERSPCOAST-1965-2005-STANTON,SWFSC,GOPHERSPCOAST,Gopher rockfish Southern Pacific Coast,STANTON,5/20/2009,8/1/2012,1965-2005,http://www.pcouncil.org/groundfish/gfsafe0406/gfsafe0406.html,contact details,North of Point conception only,,1,1,SS2,no comments,../spreadsheets/STANTON-WCgopher-2005-editedDR-QAQC-longtimeseries.xls,999
SEFSC-GRAMBERGM-1986-2004-JENSEN,SEFSC,GRAMBERGM,Greater amberjack Gulf of Mexico,JENSEN,11/19/2008,8/1/2012,1986-2004,http://www.sefsc.noaa.gov/sedar/download/SEDAR9_SAR2%20GOM%20GreaterAmberjack.pdf?id=DOCUMENT,,from Fogarty database,,1,1,ASPIC,,../spreadsheets/JENSEN-GRAMBERGM-2006-editedDR-QAQC.xls,999
SEFSC-GRAMBERSATLC-1946-2006-JENSEN,SEFSC,GRAMBERSATLC,Greater amberjack Southern Atlantic coast,JENSEN,11/23/2008,8/1/2012,1946-2006,http://www.sefsc.noaa.gov/sedar/download/S15%20SAR%202%20Final.pdf?id=DOCUMENT,,from Fogarty database,,1,1,SCA,,../spreadsheets/JENSEN-GRAMBERSATLC-2008-editedDR.xls,999
PFMC-GRNSTROCKPCOAST-1916-2009-STANTON,PFMC,GRNSTROCKPCOAST,Greenstriped rockfish Pacific Coast,STANTON,4/7/2010,1/15/2013,1916-2009,NULL,contact details,NULL,,1,1,SS3,no comments,/home/srdbadmin/srdb/spreadsheets/STANTON-GRStripeRf-2009-DH-edited.xls,999
SWFSC-GRSPROCKNCAL-1916-2010-STACHURA,SWFSC,GRSPROCKNCAL,Greenspotted rockfish Pacific Coast North,STACHURA,12/21/2011,9/18/2012,1916-2010,NULL,"E.J. Dick, edward.dick@noaa.gov",This is the first assessment for this stock; assessment document obtained from author because it is not yet publicly available,SWFSC-GRSPROCKCAL-2011.pdf,1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/SWFSC-GRSPROCKNCAL-2011-DH-edited.xls,999
SWFSC-GRSPROCKSCAL-1916-2010-STACHURA,SWFSC,GRSPROCKSCAL,Greenspotted rockfish Pacific Coast South,STACHURA,12/21/2011,9/18/2012,1916-2010,NULL,"E.J. Dick, edward.dick@noaa.gov",This is the first assessment for this stock; assessment document obtained from author because it is not yet publicly available,SWFSC-GRSPROCKCAL-2011.pdf,1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/SWFSC-GRSPROCKSCAL-2011-DH-edited.xls,999
NIWA-GSTRGZRSTA7-1964-2007-CORDUE,NIWA,GSTRGZRSTA7,Giant stargazer NZ Area STA7,CORDUE,8/27/2012,9/30/2012,1964-2007,https://fs.fish.govt.nz/Doc/17206/2008%20FARs/08_33_FAR.pdf.ashx,Ian Doonan <Ian.Doonan@niwa.co.nz>,"The assessment is an update of the ""initial run"" described in the report.",08_33_FAR.pdf,1,1,CASAL,West Coast South Island (WCSI) assessment,/home/srdbadmin/srdb/spreadsheets/CORDUE-STAWCSINZ-2012-DH-edited.xls,999
CSIRO-GTPRAWNNAUST-1970-2006-FULTON,CSIRO,GTPRAWNNAUST,Northern Australia grooved Tiger Prawn,FULTON,4/30/2008,8/1/2012,1970-2006,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,,1,1,Delay difference,,../spreadsheets/Fulton-grooved_tiger_prawn-australia-2007_v2-editedDR-QAQC.xls,999
SEFSC-GTRIGGM-1981-2004-JENSEN,SEFSC,GTRIGGM,Gray triggerfish Gulf of Mexico,JENSEN,11/21/2008,8/1/2012,1981-2004,http://www.sefsc.noaa.gov/sedar/download/SEDAR9_SAR1%20Gray%20Triggerfish.pdf?id=DOCUMENT,,from Fogarty database,,1,1,ASPM,State-space Age-structured Surplus Production Model,../spreadsheets/JENSEN-GTRIGGM-2006-editedDR.xls,999
DFO-MAR-HAD4X5Y-1970-2011-CHING,DFO-MAR,HAD4X5Y,Haddock NAFO-4X5Y,CHING,1/31/2013,8/23/2013,1970-2011,http://www.dfo-mpo.gc.ca/csas-sccs/Publications/SAR-AS/2012/2012_023-eng.pdf,Mark Showell (Mark.Showell@mar.dfo-mpo.gc.ca),NULL,2012_023-eng Assessment of the status of 4X5Y haddock in 2011,1,1,Unknown,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-HAD4X5Y-2012-DH-edited.xls,999
NEFSC-HAD5Y-1964-2011-CHING,NEFSC,HAD5Y,Haddock NAFO-5Y,CHING,2/14/2013,8/23/2013,1964-2011,http://nefsc.noaa.gov/publications/crd/crd1206/1206.pdf,NULL,NULL,crd1206,1,1,VPA,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-HAD5Y-2012-DH-edited.xls,999
NWWG-HADFAPL-1955-2012-CHING,NWWG,HADFAPL,Haddock Faroe Plateau,CHING,2/27/2013,8/23/2013,1955-2012,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/had-faro.pdf,NULL,NULL,had-faro,1,1,XSA,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-HADFAPL-2012-DH-edited.xls,999
NEFSC-HADGB-1931-2010-CHING,NEFSC,HADGB,Haddock Georges Bank,CHING,2/13/2013,8/23/2013,1931-2010,http://nefsc.noaa.gov/publications/crd/crd1206/1206.pdf,NULL,NULL,crd1206,1,1,VPA,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-HADGB-2012-DH-edited.xls,999
NWWG-HADICE-1977-2012-CHING,NWWG,HADICE,Haddock Iceland,CHING,2/27/2013,8/23/2013,1977-2012,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/had-iceg.pdf,NULL,NULL,had-iceg,1,1,ADAPT,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-HADICE-2012-DH-edited.xls,999
WGNSDS-HADIS-1972-2012-CHING,WGNSDS,HADIS,Haddock Irish Sea,CHING,2/27/2013,8/23/2013,1972-2012,http://www.ices.dk/sites/pub/Publication%20Reports/Expert%20Group%20Report/acom/2012/WGCSE/06.3_Haddock%20VIIa_2012.pdf,NULL,NULL,06.3_Haddock VIIa_2012,1,1,SURBA,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-HADIS-2012-DH-edited.xls,999
AFWG-HADNEAR-1947-2012-CHING,AFWG,HADNEAR,Haddock Northeast Arctic,CHING,2/27/2013,8/23/2013,1947-2012,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/had-arct.pdf,NULL,NULL,had-arct,1,1,XSA,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-HADNEAR-2012-DH-edited.xls,999
WGNSSK-HADNS-IIIa-1963-2012-CHING,WGNSSK,HADNS-IIIa,Haddock ICES IIIa and North Sea,CHING,2/27/2013,8/23/2013,1963-2012,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/had-34.pdf,NULL,NULL,had-34,1,1,XSA,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-HADNS-IIIa-2012-DH-edited.xls,999
WGNSSK-HADROCK-1990-2012-CHING,WGNSSK,HADROCK,Haddock Rockall Bank,CHING,2/27/2013,8/23/2013,1990-2012,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/had-rock.pdf,NULL,NULL,had-rock,1,1,XSA,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-HADROCK-2012-DH-edited.xls,999
WGNSDS-HADVIa-1977-2012-CHING,WGNSDS,HADVIa,Haddock West of Scotland,CHING,3/4/2013,8/23/2013,1977-2012,http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2012/2012/had-scow.pdf,NULL,NULL,had-scow,1,1,TSA,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-HADVIa-2012-DH-edited.xls,999
WGSSDS-HADVIIb-k-1987-2012-CHING,WGSSDS,HADVIIb-k,Haddock ICES VIIb-k,CHING,2/13/2013,8/23/2013,1987-2012,http://www.ices.dk/committe/acom/comwork/report/2012/2012/had-7b-k.pdf,NULL,NULL,had-7b-k,1,1,ASAP,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-HADVIIb-k-2012-DH-edited.xls,999
WGHMM-HAKENRTN-1961-2011-CHING,WGHMM,HAKENRTN,Hake Northeast Atlantic North,CHING,2/15/2013,8/23/2013,1961-2011,http://www.ices.dk/committe/acom/comwork/report/2012/2012/hke-nrth.pdf,NULL,NULL,hke-nrth,1,1,SS3,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-HAKENRTN-2012-DH-edited.xls,999
WGHMM-HAKESOTH-1972-2011-CHING,WGHMM,HAKESOTH,Hake Northeast Atlantic South,CHING,2/14/2013,8/23/2013,1972-2011,http://www.ices.dk/committe/acom/comwork/report/2012/2012/hke-soth.pdf,NULL,NULL,hke-soth,1,1,Unknown,NULL,/home/srdbadmin/srdb/spreadsheets/CHING-HAKESOTH-2012-DH-edited.xls,999
HAWG-HERR2224IIIa-1991-2011-NEUBAUER,HAWG,HERR2224IIIa,Herring ICES 22-24-IIIa,NEUBAUER,6/23/2011,1/2/2013,1991-2011,"http://www.ices.dk/reports/ACOM/2011/WGBFAS/Sec%2006.2%20Herring%20in%20subdivisions%2025-27%2028.2,%2029%20and%2032.pdf",NULL,NULL,,1,1,ICA,,/home/srdbadmin/srdb/spreadsheets/NEUBAUER-HERR2224IIIa-2011-DH-edited.xls,999
WGBFAS-HERR2532-1973-2011-NEUBAUER,WGBFAS,HERR2532,Herring ICES 25-32,NEUBAUER,6/23/2011,12/12/2012,1973-2011,"http://www.ices.dk/reports/ACOM/2011/WGBFAS/Sec%2006.2%20Herring%20in%20subdivisions%2025-27%2028.2,%2029%20and%2032.pdf",NULL,NULL,,1,1,XSA,"In 2010 and in this years assessment, the retrospective pattern seems to be reoccurring, which de-crease the quality of the assessment. The retrospective pattern is at least partly related to the Ichthyophonus infection and uncertainty in the assessment r",/home/srdbadmin/srdb/spreadsheets/NEUBAUER-HERR2532-2011-DH-edited.xls,999
